participant_id,well_being,intensity,companionship_prim,companionship_desc,companionship_chat,self_disclosure,social_network_scale,tenure_of_activity,donated,male,non_binary,age,single
p_784,4.666666667,0.391947805,0,0,,0.619964554,-0.369747453,-0.462574528,0,0,0,44,0
p_899,4.666666667,0.126295056,1,1,,1.524777687,-0.875529854,-0.462574528,0,0,0,28,0
p_414,3.0,0.7647105,0,1,0.182284009,0.054456346,-1.887094658,0.896313241,1,1,0,18,1
p_468,3.5,-1.189161112,0,0,,-0.39795022,-0.875529854,-1.821462297,0,0,0,26,0
p_746,5.333333333,1.082350964,0,0,,-0.058645296,0.641817351,0.896313241,0,1,0,32,0
p_110,5.5,-0.314129571,0,1,,-0.737255145,-1.381312256,-0.462574528,0,0,0,51,0
p_523,2.166666667,0.316848253,0,0,,0.506862912,-0.875529854,-0.462574528,0,0,0,39,1
p_57,4.333333333,-0.945485083,0,0,-0.71320007,-0.058645296,-0.369747453,0.896313241,1,0,0,38,0
p_1112,5.666666667,1.485890723,0,1,,0.393761271,0.136034949,0.896313241,0,0,0,39,0
p_817,4.666666667,1.03271359,0,1,,0.619964554,0.136034949,0.896313241,0,0,0,33,0
p_762,6.0,-0.067842148,0,0,,-0.850356787,2.664946959,-0.462574528,0,1,0,25,0
p_87,5.5,0.296901001,0,0,,-0.624153504,1.147599753,0.896313241,0,0,0,44,1
p_619,6.333333333,0.973027919,0,0,,-0.737255145,-0.369747453,0.896313241,0,0,0,32,1
p_768,3.0,-0.048844949,1,1,,0.619964554,1.147599753,0.896313241,0,1,0,25,1
p_903,5.166666667,-0.871182469,0,0,-0.058179389,-0.737255145,1.653382155,0.896313241,1,1,0,18,0
p_913,6.166666667,1.31708761,0,1,,0.959269479,1.653382155,0.896313241,0,1,0,45,0
p_712,6.5,0.621419328,0,0,,-0.39795022,0.136034949,0.896313241,0,1,0,44,1
p_962,6.166666667,1.237275288,0,1,-1.59940452,0.733066196,-0.369747453,0.896313241,1,0,0,64,0
p_1020,4.5,1.260001136,0,1,,0.280659629,0.641817351,0.896313241,0,1,0,24,0
p_428,3.333333333,0.817188878,1,1,,0.733066196,-0.875529854,-0.462574528,0,0,0,24,1
p_102,3.666666667,0.664941946,0,0,,0.506862912,0.136034949,0.896313241,0,0,0,28,1
p_291,3.833333333,0.831186187,0,0,,0.506862912,-1.381312256,0.896313241,0,0,0,47,0
p_1036,3.166666667,-2.557880628,0,0,-1.59940452,-0.624153504,-0.369747453,-0.462574528,1,1,0,32,0
p_157,2.333333333,-1.053055887,0,0,,-0.284848579,-1.381312256,-0.462574528,0,1,0,18,0
p_159,5.333333333,-0.474698026,0,0,-1.257735334,-0.171746937,-0.369747453,-0.462574528,1,0,0,40,0
